dataset,scale,n_items,n_reverse,all_reverse,degenerate,n_reflected,n_reverse_not_reflected,unreflected_items,unreflected_cos_to_pos_c
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,15,5,False,False,5,0,,
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,5,1,False,False,1,0,,
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,5,0,False,True,0,0,,
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,5,5,True,True,0,5,imp_np_1; imp_np_2; imp_np_3; imp_np_4; imp_np_5,nan; nan; nan; nan; nan
pilot_holdout,Behavioral_Activation_System_Scale_behavioral_activation,13,0,False,True,0,0,,
pilot_holdout,Behavioral_Activation_System_Scale_behavioral_activation_Drive,4,0,False,True,0,0,,
pilot_holdout,Behavioral_Activation_System_Scale_behavioral_activation_Fun_Seeking,4,0,False,True,0,0,,
pilot_holdout,Behavioral_Activation_System_Scale_behavioral_activation_Reward_Responsiveness,5,0,False,True,0,0,,
pilot_holdout,Behavioral_Inhibition_System_Scale_behavioral_inhibition,7,2,False,False,2,0,,
pilot_holdout,Big_Five_Inventory_2_agreeableness,12,6,False,False,5,1,bfi_a2_3,0.055
pilot_holdout,Big_Five_Inventory_2_agreeableness_compassion,4,2,False,False,2,0,,
pilot_holdout,Big_Five_Inventory_2_agreeableness_respectfulness,4,2,False,False,1,1,bfi_a2_3,0.181
pilot_holdout,Big_Five_Inventory_2_agreeableness_trust,4,2,False,False,0,2,bfi_a3_1; bfi_a3_3,0.107; 0.052
pilot_holdout,Big_Five_Inventory_2_conscientiousness,12,6,False,False,6,0,,
pilot_holdout,Big_Five_Inventory_2_conscientiousness_organization,4,2,False,False,2,0,,
pilot_holdout,Big_Five_Inventory_2_conscientiousness_productiveness,4,2,False,False,2,0,,
pilot_holdout,Big_Five_Inventory_2_conscientiousness_responsibility,4,2,False,False,2,0,,
pilot_holdout,Big_Five_Inventory_2_extraversion,12,6,False,False,5,1,bfi_e2_4,0.038
