"DOI","Name","semanticnet_scale","n_items","usage_count","match_type","covered_synthnet","covered_hunt"
"10.1037/t00044-000","bicultural self-efficacy scale","bicultural self-efficacy",26,11,"core_exact",TRUE,FALSE
"10.1037/t00048-000","brief fear of negative evaluation scale","fear of negative evaluation",12,431,"core_exact",TRUE,FALSE
"10.1037/t00078-000","color-blind racial attitudes scale","color-blind racial attitudes",20,138,"core_exact",TRUE,FALSE
"10.1037/t00082-000","contingencies of self-worth scale","contingencies of self-worth",35,164,"core_exact",TRUE,FALSE
"10.1037/t00338-000","police stress questionnaires","organizational police stress - op",20,0,"fuzzy",TRUE,FALSE
"10.1037/t00355-000","brief sexual attitudes scale","sexual attitudes",23,71,"core_exact",TRUE,FALSE
"10.1037/t00385-000","empathy/systemizing quotient - child","empathy/systemizing quotient (child)",55,1,"exact",TRUE,FALSE
"10.1037/t00392-000","cambridge friendship questionnaire","friendship and relationship quotient",35,10,"exact",TRUE,FALSE
"10.1037/t00393-000","general self-efficacy scale","general self-efficacy",10,0,"core_exact",TRUE,FALSE
"10.1037/t00437-000","relationship assessment scale","relationship assessment",7,639,"core_exact",TRUE,FALSE
"10.1037/t00440-000","respect toward partner scale","respect toward partner",6,7,"core_exact",TRUE,FALSE
"10.1037/t00465-000","peritraumatic distress inventory","peritraumatic distress",13,164,"core_exact",TRUE,FALSE
"10.1037/t00469-000","traumatic events questionnaire","traumatic events",12,153,"core_exact",TRUE,FALSE
"10.1037/t00489-000","parent cognition scale","parent_cognition_scale_measure",30,14,"core_exact",TRUE,FALSE
"10.1037/t00499-000","posttraumatic cognitions inventory","posttraumatic cognitions",33,460,"core_exact",TRUE,FALSE
"10.1037/t00501-000","preschool learning behavior scale","preschool learning behavior",27,30,"core_exact",TRUE,FALSE
"10.1037/t00512-000","religious commitment inventory-10","religious commitment",10,131,"core_exact",TRUE,FALSE
"10.1037/t00514-000","revised children's manifest anxiety scale","children's manifest anxiety",42,969,"core_exact",TRUE,FALSE
"10.1037/t00522-000","short self-regulation questionnaire","self-regulation assessment",24,49,"core_exact",TRUE,FALSE
"10.1037/t00540-000","strengths and difficulties questionnaire","strengths and difficulties",25,6257,"core_exact",FALSE,TRUE
"10.1037/t00550-000","white privilege attitudes scale","white privilege attitudes",28,12,"core_exact",TRUE,FALSE
"10.1037/t00749-000","berkeley expressivity questionnaire","berkeley expressivity",16,91,"core_exact",FALSE,FALSE
"10.1037/t00762-000","brief screen for depression","brief screen for depression",4,6,"exact",TRUE,FALSE
"10.1037/t00779-000","fairness questionnaire","fairness",10,0,"core_exact",TRUE,FALSE
"10.1037/t00794-000","fear of negative evaluation scale","fear of negative evaluation - fne",30,0,"fuzzy",TRUE,FALSE
"10.1037/t00866-000","death anxiety questionnaire","death anxiety",15,29,"core_exact",TRUE,FALSE
"10.1037/t00869-000","consideration of future consequences scale","consideration_of_future_consequences_scale",14,209,"exact",TRUE,FALSE
"10.1037/t00873-000","fetal health locus of control scale","mental health locus of control",22,7,"fuzzy",TRUE,FALSE
"10.1037/t00930-000","geriatric depression scale","geriatric depression",31,8709,"core_exact",TRUE,FALSE
"10.1037/t00950-000","health locus of control scale","health locus of control",11,75,"core_exact",TRUE,FALSE
"10.1037/t01013-000","rigidity test","rigidity",10,0,"core_exact",TRUE,FALSE
"10.1037/t01031-000","dimensional obsessive-compulsive scale","dimensional obsessive compulsive scale",18,216,"exact",TRUE,FALSE
"10.1037/t01043-000","disgust scale-revised","disgust",20,148,"core_exact",FALSE,FALSE
"10.1037/t01069-000","satisfaction with life scale","satisfaction with life",5,7023,"core_exact",TRUE,FALSE
"10.1037/t01074-000","meaning in life questionnaire","meaning in life",10,728,"core_exact",TRUE,FALSE
"10.1037/t01115-000","self-concept clarity scale","self-concept clarity",12,279,"core_exact",TRUE,FALSE
"10.1037/t01128-000","sluggish cognitive tempo scale","sluggish cognitive tempo",12,27,"core_exact",TRUE,FALSE
"10.1037/t01148-000","social responsibility scale","social responsibility",53,60,"core_exact",TRUE,FALSE
"10.1037/t01156-000","social withdrawal scale","social withdrawal",6,27,"core_exact",TRUE,FALSE
"10.1037/t01173-000","similarity of the offender's spirituality scale","similarity of the offender's spirituality",9,1,"core_exact",TRUE,FALSE
"10.1037/t01181-000","state self-esteem scale","state self-esteem",20,332,"core_exact",TRUE,FALSE
"10.1037/t01292-000","generalized expectancy for success scale","generalized expectancy for success",31,14,"core_exact",TRUE,FALSE
"10.1037/t01304-000","pain catastrophizing scale","pain catastrophizing",13,1579,"core_exact",TRUE,FALSE
"10.1037/t01311-000","parenting sense of competence scale","parenting sense of competence",14,443,"core_exact",FALSE,FALSE
"10.1037/t01397-000","zimbardo time perspective inventory","zimbardo_time_perspective_survey",54,332,"core_exact",TRUE,FALSE
"10.1037/t01588-000","subjective happiness scale","subjective happiness",4,761,"core_exact",TRUE,FALSE
"10.1037/t01598-000","short grit scale","grit_scale_survey",8,142,"core_exact",TRUE,FALSE
"10.1037/t01601-000","toronto empathy questionnaire","toronto empathy",16,112,"core_exact",TRUE,FALSE
"10.1037/t01605-000","hong psychological reactance scale","hong psychological reactance",14,54,"core_exact",FALSE,FALSE
"10.1037/t01623-000","relationship incentive and threat sensitivity scales","relationship incentive and threat sensitivity",11,3,"core_exact",TRUE,FALSE
"10.1037/t01666-000","work-family conflict scale","work-family conflict s",6,0,"fuzzy",TRUE,FALSE
"10.1037/t01671-000","rotter's internal-external control scale","internal-external control",24,0,"core_exact",TRUE,FALSE
"10.1037/t01681-000","measures to assess collapse of compassion","compassion",20,0,"core_exact",TRUE,FALSE
"10.1037/t01756-000","edinburgh postnatal depression scale","edinburgh postnatal depression",10,3750,"core_exact",FALSE,FALSE
"10.1037/t01760-000","penn state worry questionnaire","penn state worry",16,2149,"core_exact",FALSE,FALSE
"10.1037/t01825-000","cross racial identity scale","cross racial identity",50,64,"core_exact",TRUE,FALSE
"10.1037/t01835-000","inspiration scale","inspiration",4,19,"core_exact",TRUE,FALSE
"10.1037/t01843-000","self description questionnaire-i","self description",135,77,"core_exact",FALSE,FALSE
"10.1037/t01844-000","proximal antecedents to violent episodes scale","proximal antecedents of violent episodes",20,6,"fuzzy",TRUE,FALSE
"10.1037/t02003-000","agoraphobic cognitions questionnaire","agoraphobic cognitions",14,260,"core_exact",FALSE,FALSE
"10.1037/t02025-000","beck anxiety inventory","beck anxiety",23,7597,"core_exact",TRUE,FALSE
