"DOI","Name","usage_count","semanticnet_scale","n_items","match_type","safe"
"10.1037/t29439-000","attachment style questionnaire","339","attachment style","15","core_exact","TRUE"
"10.1037/t02335-000","marital adjustment test","333","marital adjustment","13","core_exact","TRUE"
"10.1037/t04413-000","dutch eating behavior questionnaire","322","eating behavior","11","core_exact","TRUE"
"10.1037/t70404-000","locus of control scale","274","locus of control","14","core_exact","TRUE"
"10.1037/t07115-000","insomnia severity index","262","insomnia severity index","5","exact","TRUE"
"10.1037/t02003-000","agoraphobic cognitions questionnaire","260","agoraphobic cognitions","14","core_exact","TRUE"
"10.1037/t10182-000","relationship scales questionnaire","256","relationship assessment","7","core_exact","TRUE"
"10.1037/t03674-000","self-injurious thoughts and behaviors interview","251","self injurious thoughts and behaviors","166","core_exact","TRUE"
"10.1037/t16618-000","longitudinal interval follow-up evaluation","247","life","1","exact","FALSE"
"10.1037/t66296-000","reactive-proactive aggression questionnaire","246","reactive proactive aggression","22","core_exact","TRUE"
"10.1037/t86244-000","behavior rating inventory of executive function--adult version","234","behavior rating inventory of executive function","34","exact","TRUE"
"10.1037/t38871-000","caregiver burden inventory","224","caregiver burden","15","core_exact","TRUE"
"10.1037/t11289-000","core self-evaluations scale","224","core self evaluations","12","core_exact","TRUE"
"10.1037/t11289-000","core self-evaluations scale","224","core self evaluatoins","11","fuzzy","TRUE"
"10.1037/t19334-000","hiv stigma scale","223","hiv stigma","40","core_exact","TRUE"
"10.1037/t04027-000","sexual compulsivity scale","219","sexual compulsivity","10","core_exact","TRUE"
"10.1037/t26640-000","seasonal pattern assessment questionnaire","218","seasonal pattern","21","core_exact","TRUE"
"10.1037/t10199-000","obsessive-compulsive inventory","209","obsessive compulsive","12","core_exact","TRUE"
"10.1037/t10199-000","obsessive-compulsive inventory","209","obsessive compulsive inventory","52","exact","TRUE"
"10.1037/t14108-000","short health anxiety inventory","205","health anxiety","82","core_exact","TRUE"
"10.1037/t02161-000","almost perfect scale-revised","196","almost perfect","23","core_exact","TRUE"
"10.1037/t49650-000","positive and negative affect schedule--german version","191","panas","18","exact","FALSE"
"10.1037/t05515-000","toronto mindfulness scale","191","toronto mindfulness","15","core_exact","TRUE"
"10.1037/t07809-000","social physique anxiety scale","185","social physique anxiety","12","core_exact","TRUE"
"10.1037/t55190-000","sport motivation scale","183","sport motivation","74","core_exact","TRUE"
"10.1037/t04889-000","trait emotional intelligence questionnaire","183","trait emotional intelligence","30","core_exact","TRUE"
"10.1037/t49653-000","cognitive and affective mindfulness scale--revised","181","cognitive and affective mindfulness","12","core_exact","TRUE"
"10.1037/t30328-000","arizona sexual experience scale","176","arizona sexual experiences","5","fuzzy","TRUE"
"10.1037/t66421-000","pittsburgh sleep quality index--chinese version","175","pittsburgh sleep quality","12","core_exact","TRUE"
"10.1037/t66136-000","sleep disturbance scale for children","174","sleep disturbance","16","core_exact","TRUE"
"10.1037/t35977-000","satisfaction measure","173","satisfaction","10","core_exact","TRUE"
"10.1037/t63391-000","trauma symptom checklist for young children","167","trauma symptom","40","core_exact","TRUE"
"10.1037/t36591-000","coping with children's negative emotions scale","161","coping with children s negative emotions","12","core_exact","TRUE"
"10.1037/t07443-000","resilience scale for adults","153","resilience","6","core_exact","TRUE"
"10.1037/t04667-000","religious fundamentalism scale","151","religious fundamentalism","19","core_exact","TRUE"
"10.1037/t01043-000","disgust scale-revised","148","disgust","20","core_exact","TRUE"
"10.1037/t05463-000","fear survey schedule","140","fear","24","core_exact","TRUE"
"10.1037/t02651-000","social skills inventory","139","social skills rating","55","core_exact","TRUE"
"10.1037/t05677-000","hospital anxiety and depression scale--chinese version","133","hospital anxiety and depression","14","core_exact","TRUE"
"10.1037/t02579-000","severity of violence against women scale","125","severity of violence against women","46","core_exact","TRUE"
"10.1037/t80888-000","birchwood insight scale","124","insight","10","core_exact","TRUE"
"10.1037/t06160-000","self-report altruism scale","122","self report altruism","20","core_exact","TRUE"
"10.1037/t17867-000","maudsley personality inventory","116","maudsley personality inventory","78","exact","TRUE"
"10.1037/t08962-000","clinician-administered ptsd scale for children and adolescents","115","clinician administered ptsd","30","core_exact","TRUE"
"10.1037/t15085-000","eating inventory","112","three factor eating questionnaire","18","exact","TRUE"
"10.1037/t28268-000","chicago multiscale depression inventory","109","chicago multiscale depression mood","9","fuzzy","TRUE"
"10.1037/t82936-000","health behavior questionnaire","109","health behavior","6","core_exact","TRUE"
"10.1037/t28629-000","impression management scale","107","impression management","26","core_exact","TRUE"
"10.1037/t65792-000","traumatic events inventory","107","traumatic events","12","core_exact","TRUE"
"10.1037/t11875-000","self-efficacy questionnaire for children","105","self efficacy","20","core_exact","TRUE"
"10.1037/t09624-000","10-item connor-davidson resilience scale","102","connor davidson resilience","25","core_exact","TRUE"
"10.1037/t04751-000","daily stress inventory","97","daily stress","58","core_exact","TRUE"
"10.1037/t31524-000","drug use questionnaire","97","drug use","30","core_exact","TRUE"
"10.1037/t62704-000","internal state scale","96","internal state","16","core_exact","TRUE"
"10.1037/t09413-000","sexual experiences survey short form victimization","96","sexual experiences victimization s","7","fuzzy","TRUE"
"10.1037/t54382-000","flow state scale","93","flow state","36","core_exact","TRUE"
"10.1037/t07987-000","emotional contagion scale","92","emotional contagion","8","core_exact","TRUE"
"10.1037/t00749-000","berkeley expressivity questionnaire","91","berkeley expressivity","16","core_exact","TRUE"
"10.1037/t06131-000","self-control schedule","90","brief self control survey","13","core_exact","TRUE"
"10.1037/t06131-000","self-control schedule","90","self control","26","core_exact","TRUE"
"10.1037/t09290-000","interaction anxiousness scale","88","interaction anxiousness","15","core_exact","TRUE"
"10.1037/t06617-000","cohen-hoberman inventory of physical symptoms","81","cohen hoberman physical symptoms","33","fuzzy","TRUE"
"10.1037/t01843-000","self description questionnaire-i","77","self description","272","core_exact","TRUE"
"10.1037/t11708-000","transformational leadership measure","76","transformational leadership","8","core_exact","TRUE"
"10.1037/t03503-000","commitment inventory","74","commitment","3","core_exact","TRUE"
"10.1037/t07042-000","strengths and difficulties questionnaire--german version","74","strengths and difficulties","25","core_exact","TRUE"
"10.1037/t20639-000","social support inventory","73","social support inventory","20","exact","TRUE"
"10.1037/t33946-000","patient health questionnaire-9--spanish version","71","patient health","4","core_exact","TRUE"
"10.1037/t18996-000","academic performance scale","70","academic performance rating","19","core_exact","TRUE"
"10.1037/t06386-000","love attitudes scale","69","love attitudes s","24","fuzzy","TRUE"
"10.1037/t58181-000","yale brown obsessive compulsive scale--modified for body dysmorphic disorder","69","yale brown obsessive compulsive scale","19","exact","TRUE"
"10.1037/t76760-000","mental health questionnaire","61","mental health","5","core_exact","TRUE"
"10.1037/t12030-000","actively open-minded thinking scale","60","actively open minded thinking","7","core_exact","TRUE"
"10.1037/t28680-000","decision regret scale","59","decision regret","5","core_exact","TRUE"
"10.1037/t61286-000","positive affect index","57","positive affect","5","core_exact","TRUE"
"10.1037/t15504-000","body awareness questionnaire","54","body awareness","18","core_exact","TRUE"
"10.1037/t04257-000","curiosity and exploration inventory","54","curiosity and exploration","10","core_exact","TRUE"
"10.1037/t01605-000","hong psychological reactance scale","54","hong psychological reactance","14","core_exact","TRUE"
"10.1037/t73111-000","temporal satisfaction with life scale","54","temporal satisfaction with life","15","core_exact","TRUE"
"10.1037/t81812-000","behavioral inhibition questionnaire","53","behavioral inhibition","30","core_exact","TRUE"
"10.1037/t20320-000","brief calling scale","50","calling","12","core_exact","TRUE"
"10.1037/t06085-000","conservatism scale","50","conservatism","9","core_exact","TRUE"
"10.1037/t21815-000","diagnostic inventory for depression","50","diagnostic inventory for depression","22","exact","TRUE"
"10.1037/t66128-000","somatic symptom scale-8","49","somatic symptom inventory","26","core_exact","TRUE"
"10.1037/t51873-000","sexual attitudes scale","47","sexual attitudes","23","core_exact","TRUE"
"10.1037/t64291-000","santa clara brief compassion scale","46","santa clara brief compassion","5","core_exact","TRUE"
"10.1037/t64815-000","systemizing quotient--adult","46","systemizing quotient","75","exact","TRUE"
"10.1037/t36004-000","risk-taking scale","45","risk taking","15","core_exact","TRUE"
"10.1037/t57299-000","difficulties in emotion regulation scale-16","44","difficulties in emotion regulation goal","5","fuzzy","TRUE"
"10.1037/t62654-000","clinically useful depression outcome scale","43","clinically useful depression outcome","18","core_exact","TRUE"
"10.1037/t64763-000","dominance scale","42","dominance","18","core_exact","TRUE"
"10.1037/t04697-000","right-wing authoritarianism scale, short version","42","right wing authoritarianism","22","core_exact","TRUE"
"10.1037/t71512-000","pet attitude scale","40","pet attitude","18","core_exact","TRUE"
"10.1037/t37319-000","caregiver quality of life index--cancer","39","caregiver quality of life cancer","35","core_exact","TRUE"
"10.1037/t06953-000","child assessment schedule","36","child","1","core_exact","TRUE"
"10.1037/t36222-000","interpersonal reactivity index-chinese version","36","interpersonal reactivity","56","core_exact","TRUE"
"10.1037/t08002-000","test anxiety scale for children","35","anxiety","10","core_exact","TRUE"
"10.1037/t07937-000","religious support scale","35","religious support","21","core_exact","TRUE"
"10.1037/t39705-000","male role attitudes scale","34","male role attitudes","8","core_exact","TRUE"
"10.1037/t56208-000","short depression-happiness scale","33","depression happiness","25","core_exact","TRUE"
"10.1037/t56263-000","impulse control scale","33","impulse control","10","core_exact","TRUE"
"10.1037/t07484-000","transgender congruence scale","32","transgender congruence","12","core_exact","TRUE"
"10.1037/t04905-000","attitudes toward women scale for adolescents","30","attitudes toward women adolescents","12","fuzzy","TRUE"
"10.1037/t05269-000","family asthma management system scale","30","family asthma management system","5","core_exact","TRUE"
"10.1037/t02334-000","marijuana effect expectancy questionnaire","30","marijuana effect expectancy","6","core_exact","TRUE"
"10.1037/t50164-000","symbolic racism 2000 scale","30","symbolic racism 2000","8","core_exact","TRUE"
"10.1037/t09601-000","sexual experiences scale","27","sexual experiences","18","core_exact","TRUE"
"10.1037/t60955-000","gratitude resentment and appreciation test","26","gratitude resentment appreciation","44","fuzzy","TRUE"
"10.1037/t66392-000","mate retention inventory","26","mate retention","104","core_exact","TRUE"
"10.1037/t04704-000","selection, optimization, and compensation questionnaire","26","selection optimization compensation questionnaire","96","fuzzy","TRUE"
"10.1037/t42481-000","organizational citizenship behaviors measure","25","organizational citizenship behaviors","30","core_exact","TRUE"
"10.1037/t68788-000","security questionnaire","25","security","10","core_exact","TRUE"
"10.1037/t67968-000","affectometer 2","24","affectometer","40","exact","TRUE"
"10.1037/t04480-000","religious commitment scale","24","religious commitment","10","core_exact","TRUE"
"10.1037/t20693-000","sexual abuse questionnaire","24","sexual abuse","7","core_exact","TRUE"
"10.1037/t05980-000","test attitude survey","24","survey attitude","9","core_exact","FALSE"
"10.1037/t20915-000","cognitive-somatic anxiety questionnaire","23","cognitive somatic anxiety","14","core_exact","TRUE"
"10.1037/t46636-000","subjective happiness scale--spanish version","23","subjective happiness","4","core_exact","TRUE"
"10.1037/t15375-000","acceptance of disability scale","22","acceptance of disability","10","core_exact","TRUE"
"10.1037/t02051-000","coping scale for adults","22","coping","6","core_exact","TRUE"
"10.1037/t73853-000","panic disorder severity scale--self-report version","22","panic disorder severity","14","core_exact","TRUE"
"10.1037/t48946-000","penn state worry questionnaire--abbreviated version","22","penn state worry","16","core_exact","TRUE"
"10.1037/t67433-000","support scale","22","support","4","core_exact","TRUE"
"10.1037/t64086-000","voices acceptance and action scale","21","voices acceptance and action","31","core_exact","TRUE"
"10.1037/t69013-000","consumers' need for uniqueness scale","19","consumers need for uniqueness","31","core_exact","TRUE"
"10.1037/t67079-000","early memories of warmth and safeness scale","19","early memories of warmth and safeness","21","core_exact","TRUE"
"10.1037/t56496-000","reading motivation questionnaire","19","reading motivation","21","core_exact","TRUE"
"10.1037/t35495-000","brief family distress scale","18","family distress s","9","fuzzy","TRUE"
"10.1037/t45644-000","geriatric depression inventory","18","geriatric depression","31","core_exact","TRUE"
"10.1037/t66135-000","hamilton depression rating scale--turkish version","18","hamilton depression","38","core_exact","TRUE"
"10.1037/t85130-000","headache-specific locus of control scale","18","headache specific locus of control","33","core_exact","TRUE"
"10.1037/t14562-000","zimbardo time perspective inventory--short version","18","zimbardo time perspective survey","56","core_exact","TRUE"
"10.1037/t81079-000","anger expression scale for children","17","anger expression children","26","fuzzy","TRUE"
"10.1037/t02423-000","parent attribution test","17","parent attribution test revised","13","core_exact","TRUE"
"10.1037/t32563-000","social isolation index","17","social isolation","12","core_exact","TRUE"
"10.1037/t59445-000","happiness index","16","happiness","22","core_exact","TRUE"
"10.1037/t66413-000","individualized trust scale","16","individualized trust","15","core_exact","TRUE"
"10.1037/t81933-000","activism orientation scale","15","activism orientation","35","core_exact","TRUE"
"10.1037/t49323-000","adhd rating scale-5","15","adhd","12","core_exact","TRUE"
"10.1037/t14461-000","death depression scale","15","death depression","17","core_exact","TRUE"
"10.1037/t09704-000","future time perspective inventory","15","future time perspective survey","10","core_exact","TRUE"
"10.1037/t40655-000","interpersonal trust measure","15","interpersonal trust","18","core_exact","TRUE"
"10.1037/t15230-000","negative body talk scale","15","negative body talk","13","core_exact","TRUE"
"10.1037/t60856-000","positive and negative syndrome scale--arabic version","15","positive and negative syndrome","30","core_exact","TRUE"
"10.1037/t54377-000","self-construal scale--chinese version","15","self construal","30","core_exact","TRUE"
"10.1037/t16889-000","adolescent femininity ideology scale","14","adolescent femininity ideology","20","core_exact","TRUE"
"10.1037/t68973-000","behavioral health screen","14","behavioral health screening","21","fuzzy","TRUE"
"10.1037/t44215-000","civic participation scale","14","civic participation","5","core_exact","TRUE"
"10.1037/t60003-000","parental responsibility scale","14","parental responsibility","10","core_exact","TRUE"
"10.1037/t70179-000","yale food addiction scale for children","14","yale food addiction","25","core_exact","TRUE"
"10.1037/t69272-000","athens insomnia scale--japanese version","13","athens insomnia","8","core_exact","TRUE"
"10.1037/t43674-000","childhood trauma questionnaire-short form--german version","13","childhood trauma","19","core_exact","TRUE"
"10.1037/t02783-000","women's experiences with battering scale","13","women s experiences with battering","10","core_exact","TRUE"
"10.1037/t60041-000","anger questionnaire","12","anger","10","core_exact","TRUE"
"10.1037/t60041-000","anger questionnaire","12","anger inventory","25","core_exact","FALSE"
"10.1037/t73560-000","condensed memorial symptom assessment scale","12","condensed memorial symptom","14","core_exact","TRUE"
"10.1037/t06852-000","emotional empathy questionnaire","12","emotional empathy","33","core_exact","TRUE"
"10.1037/t32729-000","satisfaction with life scale--hebrew version","12","satisfaction with life","5","core_exact","TRUE"
"10.1037/t17177-000","brief coping orientation to problem experiences","11","brief cope","28","exact","FALSE"
"10.1037/t17319-000","vietnamese depression scale","11","depression","22","core_exact","TRUE"
"10.1037/t66518-000","gratitude questionnaire--chinese version","11","gratitude","14","core_exact","TRUE"
"10.1037/t75098-000","self-harm scale","11","self harm","7","core_exact","TRUE"
"10.1037/t57737-000","family-to-work enrichment scale","11","work family enrichment","18","core_exact","TRUE"
"10.1037/t14695-000","affect intensity scale","10","affect intensity","61","core_exact","TRUE"
"10.1037/t46783-000","appraisal of diabetes scale","10","appraisal of diabetes","7","core_exact","TRUE"
"10.1037/t41330-000","competence questionnaire","10","competence","24","core_exact","TRUE"
"10.1037/t35957-000","glasgow content of thoughts inventory","10","glasgow content of thoughts","25","core_exact","TRUE"
"10.1037/t64444-000","sexual harassment questionnaire","10","sexual harassment","18","core_exact","TRUE"
"10.1037/t75508-000","short grit scale--chinese version","9","grit scale survey","8","core_exact","TRUE"
"10.1037/t52316-000","montgomery-asberg depression rating scale--persian version","9","montgomery asberg depression","3","core_exact","TRUE"
"10.1037/t14786-000","brief pain coping inventory-2","9","pain assessment coping","10","core_exact","TRUE"
"10.1037/t62688-000","statistical anxiety scale","9","statistical anxiety","51","core_exact","TRUE"
"10.1037/t02083-000","children's impact of traumatic events scale b-revised","8","children s impact of traumatic events","78","fuzzy","TRUE"
"10.1037/t32628-000","delinquent activities scale","8","delinquent activities","40","core_exact","TRUE"
"10.1037/t07113-000","dysfunctional beliefs and attitudes about sleep scale--brief version","8","dysfunctional beliefs and attitudes about sleep","22","core_exact","TRUE"
"10.1037/t07113-000","dysfunctional beliefs and attitudes about sleep scale--brief version","8","dysfunctional beliefs and attitudes about sleep2","30","fuzzy","TRUE"
"10.1037/t37301-000","parental beliefs about anxiety questionnaire","8","parental beliefs about anxiety","17","core_exact","TRUE"
"10.1037/t10412-000","perceived stress index","8","perceived stress","14","core_exact","TRUE"
"10.1037/t11397-000","physical attractiveness questionnaire","8","physical attractiveness","9","core_exact","TRUE"
"10.1037/t02578-000","severity of violence against men scale","8","severity of violence against men","46","core_exact","TRUE"
"10.1037/t56077-000","betrayal trauma inventory","7","betrayal trauma","12","core_exact","TRUE"
"10.1037/t47107-000","employment hope scale","7","employment hope","2","core_exact","TRUE"
"10.1037/t51913-000","experiences in close relationships-12","7","experiences in close relationships","36","exact","TRUE"
"10.1037/t56860-000","hopelessness scale--chinese version","7","hopelessness","38","core_exact","TRUE"
"10.1037/t05975-000","intellectual achievement responsibility questionnaire","7","intellectual achievement responsibility","105","core_exact","TRUE"
"10.1037/t50073-000","inventory of parent and peer attachment--revised; chinese version","7","parent and peer attachment","53","fuzzy","TRUE"
"10.1037/t36352-000","parental control index","7","parental control","10","core_exact","TRUE"
"10.1037/t71045-000","patience scale","7","patience","10","core_exact","TRUE"
"10.1037/t50958-000","preoccupation scale","7","preoccupation","25","core_exact","TRUE"
"10.1037/t70974-000","sexual self-concept inventory","7","sexual self concept","99","core_exact","TRUE"
"10.1037/t30718-000","short social provisions scale","7","social provisions","24","core_exact","TRUE"
"10.1037/t07456-000","support for lesbian and gay human rights scale","7","support for lesbian and gay human rights","25","core_exact","TRUE"
"10.1037/t66464-000","college adjustment questionnaire","6","college adjustment","19","core_exact","TRUE"
"10.1037/t63934-000","drive for muscularity scale--german version","6","drive for muscularity","23","core_exact","TRUE"
"10.1037/t07083-000","epworth sleepiness scale--italian version","6","epworth sleepiness","7","core_exact","TRUE"
"10.1037/t69946-000","fear of loss of vigilance questionnaire","6","fear of loss of vigilance","14","core_exact","TRUE"
"10.1037/t73171-000","five facets of mindfulness questionnaire--spanish version","6","five facets of mindfulness survey","39","core_exact","TRUE"
"10.1037/t18919-000","intolerance of uncertainty scale--dutch version","6","intolerance of uncertainty s","12","fuzzy","TRUE"
"10.1037/t69844-000","meaning in life questionnaire--chinese adaptation","6","meaning in life","10","core_exact","TRUE"
"10.1037/t36721-000","negative affect index","6","negative affect","5","core_exact","TRUE"
"10.1037/t59883-000","nordic occupational safety climate questionnaire","6","nordic occupational safety climate m","22","fuzzy","TRUE"
"10.1037/t59883-000","nordic occupational safety climate questionnaire","6","nordic occupational safety climate w","28","fuzzy","TRUE"
"10.1037/t70942-000","screening assessment of depression--polarity","6","screening test for depression","13","fuzzy","TRUE"
"10.1037/t69083-000","spence children's anxiety scale--short version","6","spence children s anxiety ocd","6","fuzzy","TRUE"
"10.1037/t59172-000","beck anxiety inventory--arabic version","5","beck anxiety","23","core_exact","TRUE"
"10.1037/t85006-000","compassion scale--portuguese version","5","brief compassion","5","core_exact","FALSE"
"10.1037/t85006-000","compassion scale--portuguese version","5","compassion","20","core_exact","TRUE"
"10.1037/t75726-000","consideration of future consequences scale--chinese version","5","consideration of future consequences scale","14","exact","TRUE"
"10.1037/t72154-000","flourishing scale--japanese version","5","flourishing","8","core_exact","TRUE"
"10.1037/t38001-000","internalized stigma of mental illness scale--german version","5","internalized stigma of mental illness stigma","5","fuzzy","TRUE"
"10.1037/t08189-000","chinese life orientation test","5","life orientation","22","core_exact","TRUE"
"10.1037/t37016-000","german machiavellianism scale","5","machiavellianism","11","core_exact","TRUE"
"10.1037/t13524-000","panic attack questionnaire-iv","5","panic attack","119","core_exact","TRUE"
"10.1037/t51096-000","parenting sense of competence scale--chinese version","5","parenting sense of competence","14","core_exact","TRUE"
"10.1037/t12436-000","perfectionism questionnaire","5","perfectionism","16","core_exact","TRUE"
"10.1037/t43746-000","responses to stress questionnaire--chinese version","5","responses to stress","59","core_exact","TRUE"
"10.1037/t77775-000","apathy evaluation scale--german version","4","apathy evaluation","18","core_exact","TRUE"
"10.1037/t73392-000","revised children's manifest anxiety scale--chinese version","4","children s manifest anxiety","42","core_exact","TRUE"
"10.1037/t54485-000","english classroom anxiety scale","4","classroom anxiety","20","core_exact","TRUE"
"10.1037/t61180-000","collective self-esteem scale--chinese version","4","collective self esteem","16","core_exact","TRUE"
"10.1037/t04678-000","death acceptance scale","4","death acceptance","7","core_exact","TRUE"
"10.1037/t67910-000","dimensional obsessive-compulsive scale--italian version","4","dimensional obsessive compulsive scale","10","exact","TRUE"
"10.1037/t78963-000","herth hope index--dutch version","4","herth hope","30","core_exact","TRUE"
"10.1037/t56940-000","humor styles questionnaire--german version","4","humor styles","32","core_exact","TRUE"
"10.1037/t31970-000","information acquisition measure","4","information acquisition","1","core_exact","TRUE"
"10.1037/t68611-000","leader-member social exchange scale","4","leader member social exchange","8","core_exact","TRUE"
"10.1037/t14490-000","music scale","4","music","8","core_exact","TRUE"
"10.1037/t30869-000","quick inventory of depressive symptomatology--chinese versions","4","quick inventory of depressive symptomatology","149","exact","TRUE"
