dataset,scale,item,item_text,n_items,documented_reverse,final_reverse,disagrees,cos_to_centroid,mean_emp_r_raw_vs_scale,mean_cos_raw_vs_scale,hyperplane_reflected,hyperplane_cos_to_pos_c,n_iter,converged
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_1,I plan for job security,15,False,True,True,-0.44743651488332464,-0.1511665617431293,-0.1694608757563613,False,0.06351596504669524,2,True
pilot_holdout,Big_Five_Inventory_2_agreeableness,bfi_a3_4,I am someone who assumes the best about people,12,False,True,True,-0.32357447747654144,0.28579447957575627,-0.09441147413839285,False,0.2715050218621274,2,True
pilot_holdout,International_Personality_Item_Pool_120_agreeableness,ip_a5_1,I believe that I am better than others,24,True,False,True,-0.3372518975381883,-0.17424202682917608,0.08211039662701088,False,0.31776264477592553,2,True
pilot_holdout,International_Personality_Item_Pool_120_agreeableness,ip_a5_4,I boast about my virtues,24,True,False,True,-0.27346503766343594,-0.1465596740178537,0.055139035185992114,False,0.36047505774203153,2,True
pilot_holdout,International_Personality_Item_Pool_120_conscientiousness,ip_c3_4,I get others to do my duties,24,True,False,True,-0.5760301073067983,-0.21893418908786869,0.18930814389477527,False,0.547028551470887,3,True
pilot_holdout,International_Personality_Item_Pool_120_conscientiousness,ip_c5_3,I need a push to get started,24,True,False,True,-0.2633893944344698,-0.264965145145749,0.03945757877040251,False,0.24500462662590408,3,True
pilot_holdout,International_Personality_Item_Pool_120_conscientiousness,ip_c6_3,I rush into things,24,True,False,True,-0.43348556341608085,-0.2069067600044284,0.11418887908441366,False,0.41475280742416853,3,True
pilot_holdout,Interpersonal_Reactivity_Index_Brief_Empathy,emppd_3,I tend to lose control during emergencies,16,True,False,True,-0.381950512535358,0.06344080464383575,0.12188391484626972,False,0.25810555116829487,2,True
pilot_holdout,Mastery_Scale_Self_Mastery,smast_6,What happens to me in the future mostly depends on me,7,False,True,True,-0.5462618894955574,0.23006330536111394,-0.21753430265373278,False,0.711029025279163,2,True
pilot_holdout,Need_for_Cognition_Scale_Need_for_Cognition,nfc_16,I feel relief rather than satisfaction after completing a task that required a lot of mental effort,18,True,False,True,-0.34544406785732784,-0.20053684969441393,0.06801005025278106,False,0.31243305179488684,2,True
pilot_holdout,Psychological_Well_Being_Scales_Well_being,pwb_pr_3,I have not experienced many warm and trusting relationships with others,18,False,True,True,-0.46190501576502635,-0.1925106133563214,-0.12454606940064653,False,0.016879280212605877,2,True
pilot_holdout,Psychological_Well_Being_Scales_Well_being,pwb_pl_1,Some people wander aimlessly through life but I am not one of them,18,False,True,True,-0.40321116361934833,0.17979077576963529,-0.09786619723919784,False,0.1081824029305081,2,True
pilot_holdout,Self_Control_Scale_Self_Control,scont_6,I refuse things that are bad for me,13,False,True,True,-0.3799361149884727,0.1775655759663761,-0.11163301171750921,False,0.46801050655388104,2,True
validation_prolific,Chronotype_Questionnaire_morningness_eveningness,CQ_09,My work goes better in the afternoon than before noon.,8,False,True,True,-0.5537682390713278,0.44696178546911336,-0.15671691157831166,False,0.5301525606380609,2,True
validation_prolific,HEXACO_60_agreeableness,HEXACO_15,Most people tend to get angry more quickly than I do.,10,False,True,True,-0.503380824767999,0.32956227773605046,-0.13613663024697004,False,0.26133844893203106,2,True
validation_prolific,Perceived_Stress_Scale_perceived_stress,PSS_07,"In the last month, how often have you felt that things were going your way?",14,True,False,True,-0.5201167304974261,-0.49945325101044635,0.12697180470266767,False,0.6760945438662465,2,True
validation_prolific,Utrecht_Work_Engagement_Scale__Short_Version__engagement,UWES9_09,I get carried away when I am working.,9,False,True,True,-0.33190684190591124,0.4788351114185966,-0.13598150431586725,False,,2,True
