"DOI","Name","semanticnet_scale","n_items","usage_count","in_targets156","match_type"
"10.1037/t00749-000","berkeley expressivity questionnaire","berkeley expressivity","16","91","FALSE","core_exact"
"10.1037/t01043-000","disgust scale-revised","disgust","20","148","FALSE","core_exact"
"10.1037/t01311-000","parenting sense of competence scale","parenting sense of competence","14","443","TRUE","core_exact"
"10.1037/t01605-000","hong psychological reactance scale","hong psychological reactance","14","54","FALSE","core_exact"
"10.1037/t01843-000","self description questionnaire-i","self description","135","77","FALSE","core_exact"
"10.1037/t02003-000","agoraphobic cognitions questionnaire","agoraphobic cognitions","14","260","FALSE","core_exact"
"10.1037/t02083-000","children's impact of traumatic events scale b-revised","children's impact of traumatic events","78","8","FALSE","fuzzy"
"10.1037/t02161-000","almost perfect scale-revised","almost perfect","23","196","FALSE","core_exact"
"10.1037/t02335-000","marital adjustment test","marital adjustment","13","333","FALSE","core_exact"
"10.1037/t02423-000","parent attribution test","parent attribution test - revised","27","17","FALSE","core_exact"
"10.1037/t02578-000","severity of violence against men scale","severity of violence against men","46","8","FALSE","core_exact"
"10.1037/t02579-000","severity of violence against women scale","severity of violence against women","46","125","FALSE","core_exact"
"10.1037/t02639-000","need for touch scale-short version","need for touch","14","1","FALSE","core_exact"
"10.1037/t02783-000","women's experiences with battering scale","women’s experiences with battering","10","13","FALSE","core_exact"
"10.1037/t03674-000","self-injurious thoughts and behaviors interview","self-injurious thoughts and behaviors","166","251","FALSE","core_exact"
"10.1037/t04027-000","sexual compulsivity scale","sexual compulsivity","10","219","FALSE","core_exact"
"10.1037/t04680-000","death anxiety scale","death anxiety","15","0","FALSE","core_exact"
"10.1037/t04751-000","daily stress inventory","daily stress","59","97","FALSE","core_exact"
"10.1037/t04889-000","trait emotional intelligence questionnaire","trait emotional intelligence","30","183","FALSE","core_exact"
"10.1037/t04905-000","attitudes toward women scale for adolescents","attitudes toward women - adolescents","12","30","FALSE","fuzzy"
"10.1037/t05186-000","trauma symptom checklist-40","trauma symptom","40","149","FALSE","core_exact"
"10.1037/t05400-000","coping measure","coping","6","15","FALSE","core_exact"
