"meta_instrument_name","DOI","mtype","covered_synthnet","covered_hunt","in_targets156","covered_semnet","n_items","covered","usage_count"
"Beck Depression Inventory (21-item)(BDI)","10.1037/t00741-000","exact","FALSE","TRUE","TRUE","FALSE","84","TRUE","25118"
"Hospital Anxiety and Depression Scale (14-item)(HADS)","10.1037/t03589-000","exact","FALSE","TRUE","TRUE","FALSE","13","TRUE","12134"
"Hospital Anxiety and Depression Scale (7-item) (HADS)","10.1037/t03589-000","exact","FALSE","TRUE","TRUE","FALSE","7","TRUE","12134"
"Rosenberg Self-Esteem Scale (5 selected items) (RSE)","10.1037/t01038-000","exact","TRUE","FALSE","FALSE","FALSE","5","TRUE","10896"
"Rosenberg Self-Esteem Scale (6-item) (RSE)","10.1037/t01038-000","exact","TRUE","FALSE","FALSE","FALSE","6","TRUE","10896"
"Rosenberg Self-Esteem Scale (6-item) (RSES)","10.1037/t01038-000","exact","TRUE","FALSE","FALSE","FALSE","6","TRUE","10896"
"Rosenberg Self-Esteem Scale (7-items only) (RSES)","10.1037/t01038-000","exact","TRUE","FALSE","FALSE","FALSE","8","TRUE","10896"
"Rosenberg Self-esteem Scale (10-item) (RSE)","10.1037/t01038-000","exact","TRUE","FALSE","FALSE","FALSE","10","TRUE","10896"
"Patient Health Questionnaire (8-item + impact question) (PHQ-8)","10.1037/t06165-000","exact","FALSE","TRUE","TRUE","FALSE","10","TRUE","9492"
"Patient Health Questionnaire (9-item) (PHQ-9)","10.1037/t06165-000","exact","FALSE","TRUE","TRUE","FALSE","18","TRUE","9492"
"Patient Health Questionnaire (9-item)(PHQ-9)","10.1037/t06165-000","exact","FALSE","TRUE","TRUE","FALSE","9","TRUE","9492"
"Geriatric Depression Scale (Short Version) (15-items)","10.1037/t00930-000","exact","TRUE","FALSE","FALSE","FALSE","15","TRUE","8709"
"Alcohol Use Disorders Identification Test (10-item) (AUDIT-10)","10.1037/t01528-000","exact","FALSE","FALSE","FALSE","FALSE","10","FALSE","8513"
"Satisfaction with Life Scale (5-item) (SWLS)","10.1037/t01069-000","exact","TRUE","FALSE","FALSE","FALSE","5","TRUE","7023"
"Perceived Stress Scale","10.1037/t02889-000","exact","FALSE","TRUE","TRUE","FALSE","10","TRUE","6494"
"Pittsburgh Sleep Quality Index","10.1037/t05178-000","exact","FALSE","TRUE","TRUE","FALSE","18","TRUE","6408"
"Pittsburgh Sleep Quality Index (PSQI)","10.1037/t05178-000","exact","FALSE","TRUE","TRUE","FALSE","13","TRUE","6408"
"Positive and Negative Affect Schedule (PANAS)","10.1037/t03592-000","exact","TRUE","FALSE","FALSE","FALSE","20","TRUE","6313"
"Strengths and Difficulties Questionnaire (25-item + 5-item impact supplement) (SDQ)","10.1037/t00540-000","exact","FALSE","TRUE","TRUE","FALSE","33","TRUE","6257"
"Strengths and Difficulties Questionnaire (25-item + impact supplement)(SDQ)","10.1037/t00540-000","exact","FALSE","TRUE","TRUE","FALSE","64","TRUE","6257"
"Strengths and Difficulties Questionnaire (25-item) (SDQ)","10.1037/t00540-000","exact","FALSE","TRUE","TRUE","FALSE","25","TRUE","6257"
"Strengths and Difficulties Questionnaire (27 items + 5-item impact supplement)(SDQ)","10.1037/t00540-000","exact","FALSE","TRUE","TRUE","FALSE","65","TRUE","6257"
"Center for Epidemiologic Studies Depression Scale (CES-D)","10.1037/t02942-000","exact","TRUE","FALSE","FALSE","FALSE","40","TRUE","4876"
"Edinburgh Postnatal Depression Scale (10-item) (EPDS)","10.1037/t01756-000","exact","FALSE","TRUE","TRUE","FALSE","10","TRUE","3750"
"Short-Form Health Survey (12-item) (SF-12)","10.1037/t07023-000","exact","FALSE","TRUE","TRUE","FALSE","36","TRUE","3067"
"International Physical Activity Questionnaire (IPAQ)","10.1037/t31330-000","exact","FALSE","TRUE","TRUE","FALSE","3","TRUE","2074"
"General Health Questionnaire (12-item) (GHQ-12)","10.1037/t00297-000","exact","TRUE","FALSE","FALSE","FALSE","95","TRUE","2052"
"General Health Questionnaire (28-item) (GHQ-28)","10.1037/t00297-000","exact","TRUE","FALSE","FALSE","FALSE","28","TRUE","2052"
"General Health Questionnaire (30-item) (GHQ-30)","10.1037/t00297-000","exact","TRUE","FALSE","FALSE","FALSE","30","TRUE","2052"
"Impact of Events Scale","10.1037/t00303-000","exact","FALSE","TRUE","TRUE","FALSE","22","TRUE","1748"
"Impact of Events Scale-Revised","10.1037/t00303-000","core","FALSE","TRUE","TRUE","FALSE","22","TRUE","1748"
"The World Health Organization Quality of Life (WHOQOL-BREF)","10.1037/t01408-000","core","TRUE","FALSE","FALSE","FALSE","30","TRUE","1642"
"Emotion Regulation Questionnaire","10.1037/t06463-000","exact","FALSE","TRUE","TRUE","FALSE","10","TRUE","1569"
"UCLA Loneliness Scale","10.1037/t05974-000","exact","FALSE","FALSE","TRUE","FALSE","20","FALSE","1519"
"PTSD Checklist - Civilian Version (PCL-C)","10.1037/t02622-000","exact","FALSE","TRUE","TRUE","FALSE","38","TRUE","1402"
"PTSD Checklist Civilian Version","10.1037/t02622-000","exact","FALSE","TRUE","TRUE","FALSE","17","TRUE","1402"
"NEO Personality Inventory (NEO-PI)","10.1037/t07564-000","exact","FALSE","FALSE","TRUE","FALSE","240","FALSE","1380"
"Revised Children's Manifest Anxiety Scale (28-item) (RCMAS)","10.1037/t00514-000","exact","TRUE","FALSE","FALSE","FALSE","27","TRUE","969"
